customer_id,customer_name,age,gender,city,kyc_verified,device_type,account_open_date,Age_group
CUST0047,Krishna Mishra,47,F,ALWAR,Yes,Web,17-07-2023,45-55
CUST0048,Ananya Agarwal,22,F,PUNE,Yes,Web,06-12-2023,18-25
CUST0049,Vihaan Agarwal,29,F,JAIPUR,Yes,iOS,16-01-2025,25-35
CUST0050,Aadhya Rao,50,M,HYDERABAD,Yes,Android,26-12-2024,45-55
CUST0051,Aarav Bhatt,52,M,PUNE,Yes,Web,05-12-2023,45-55
CUST0052,Ananya Singh,64,F,LUCKNOW,Yes,iOS,17-02-2024,55-65
CUST0053,Rohan Joshi,26,M,HYDERABAD,Yes,Android,22-09-2024,25-35
CUST0054,Rohan Reddy,53,M,ALWAR,Yes,Web,13-09-2024,45-55
CUST0055,Ananya Patel,46,F,CHENNAI,Yes,Web,23-06-2023,45-55
CUST0056,Aditya Rathore,50,F,DELHI,Yes,Android,05-04-2025,45-55
CUST0057,Arjun Sharma,20,M,AHMEDABAD,No,Android,11-04-2024,18-25
CUST0058,Sneha Mehta,30,F,AHMEDABAD,Yes,Web,05-12-2024,25-35
CUST0059,Sneha Singh,45,M,MUMBAI,Yes,Web,13-09-2023,45-55
CUST0060,Kavya Kumar,47,F,SURAT,Yes,Web,31-05-2024,45-55
CUST0061,Deepak Joshi,46,M,INDORE,Yes,Android,10-05-2025,45-55
CUST0062,Ishaan Bhatt,49,M,ALWAR,Yes,iOS,29-08-2023,45-55
CUST0063,Ananya Chauhan,52,M,MUMBAI,Yes,Web,06-06-2023,45-55
CUST0064,Reyansh Gupta,44,F,PUNE,Yes,Android,31-07-2023,35-45
CUST0065,Saanvi Mehta,62,M,BHOPAL,Yes,Android,27-12-2023,55-65
CUST0066,Vikram Reddy,44,M,AHMEDABAD,Yes,iOS,30-01-2023,35-45
CUST0067,Ananya Reddy,64,M,BHOPAL,No,Web,30-06-2024,55-65
CUST0068,Manish Reddy,55,M,DELHI,Yes,iOS,06-07-2023,55-65
CUST0069,Ishaan Reddy,38,M,AHMEDABAD,Yes,iOS,12-10-2023,35-45
CUST0070,Ishaan Gupta,48,M,INDORE,Yes,iOS,18-08-2023,45-55
CUST0071,Aditya Verma,19,M,BENGALURU,Yes,Android,10-05-2023,18-25
CUST0072,Amit Singh,54,M,AHMEDABAD,No,Android,12-09-2024,45-55
CUST0073,Pooja Singh,28,F,DELHI,Yes,iOS,12-08-2024,25-35
CUST0074,Manish Reddy,43,M,DELHI,Yes,Web,06-09-2023,35-45
CUST0075,Neha Rathore,61,M,SURAT,No,iOS,29-06-2024,55-65
CUST0076,Amit Nair,22,F,JAIPUR,No,Android,19-03-2024,18-25
CUST0077,Rahul Patel,63,M,HYDERABAD,No,Web,04-10-2023,55-65
CUST0078,Sanjay Joshi,48,F,HYDERABAD,Yes,Android,30-04-2025,45-55
CUST0079,Ishaan Patel,33,F,KOLKATA,Yes,iOS,30-01-2023,25-35
CUST0080,Priya Chauhan,29,F,BENGALURU,No,iOS,14-10-2023,25-35
CUST0081,Neha Agarwal,53,M,LUCKNOW,Yes,Web,21-02-2024,45-55
CUST0082,Riya Jain,62,F,CHENNAI,Yes,Android,06-04-2023,55-65
CUST0083,Krishna Reddy,62,M,ALWAR,Yes,Web,27-06-2024,55-65
CUST0084,Aadhya Joshi,39,F,INDORE,Yes,iOS,25-08-2023,35-45
CUST0085,Pooja Mishra,38,M,INDORE,No,Web,09-07-2023,35-45
CUST0086,Reyansh Shah,35,F,DELHI,Yes,iOS,03-07-2023,35-45
CUST0087,Aarav Joshi,26,F,JAIPUR,Yes,Web,10-05-2023,25-35
CUST0088,Priya Shah,24,M,KOLKATA,Yes,iOS,15-12-2023,18-25
CUST0089,Vivaan Agarwal,48,M,BHOPAL,Yes,Android,13-08-2024,45-55
CUST0090,Amit Verma,27,M,SURAT,No,Android,12-09-2023,25-35
CUST0091,Riya Iyer,56,M,SURAT,Yes,iOS,01-11-2023,55-65
CUST0092,Aadhya Rathore,54,M,KOLKATA,No,Android,02-10-2024,45-55
CUST0093,Ishaan Gupta,28,M,MUMBAI,Yes,Android,23-02-2024,25-35
CUST0094,Neha Rao,48,F,JAIPUR,Yes,iOS,20-12-2024,45-55
CUST0095,Aditya Jain,34,M,HYDERABAD,Yes,Web,02-06-2023,25-35
CUST0096,Deepak Kumar,22,M,MUMBAI,Yes,Web,23-10-2023,18-25
CUST0097,Vihaan Patel,62,F,INDORE,No,Web,06-07-2024,55-65
CUST0098,Kavya Gupta,56,M,HYDERABAD,Yes,Android,04-04-2023,55-65
CUST0099,Amit Mehta,55,M,SURAT,Yes,Android,26-04-2024,55-65
CUST0100,Rahul Patel,35,M,KOLKATA,Yes,iOS,04-04-2023,35-45
CUST0101,Diya Iyer,39,F,CHENNAI,No,iOS,26-02-2024,35-45
CUST0102,Myra Rathore,60,F,BHOPAL,Yes,Android,19-11-2023,55-65
CUST0103,Ananya Singh,43,M,CHENNAI,Yes,Android,12-07-2023,35-45
CUST0105,Diya Rao,49,F,SURAT,Yes,Web,15-05-2023,45-55
CUST0106,Kavya Shah,25,M,CHENNAI,No,Web,12-06-2023,25-35
CUST0107,Riya Sharma,53,F,DELHI,No,Android,17-04-2024,45-55
CUST0108,Rahul Kumar,49,F,LUCKNOW,Yes,iOS,28-04-2024,45-55
CUST0109,Kavya Joshi,27,F,BENGALURU,Yes,Android,03-06-2025,25-35
CUST0110,Ishaan Iyer,39,F,BHOPAL,Yes,iOS,07-05-2025,35-45
CUST0111,Pari Shah,27,F,LUCKNOW,Yes,Web,20-02-2025,25-35
CUST0112,Saanvi Patel,38,M,INDORE,Yes,Android,26-05-2025,35-45
CUST0113,Vivaan Chauhan,65,F,INDORE,Yes,Web,22-03-2025,55-65
CUST0114,Arjun Shah,20,M,LUCKNOW,Yes,Android,14-06-2025,18-25
CUST0115,Vihaan Bhatt,47,M,INDORE,Yes,Web,08-06-2023,45-55
CUST0116,Myra Agarwal,39,F,CHENNAI,No,Web,29-05-2025,35-45
CUST0117,Saanvi Chauhan,58,F,BHOPAL,Yes,Android,29-08-2023,55-65
CUST0118,Amit Rathore,32,M,HYDERABAD,No,Web,12-06-2025,25-35
CUST0119,Kavya Yadav,62,F,JAIPUR,Yes,Android,28-10-2023,55-65
CUST0121,Diya Iyer,27,M,LUCKNOW,Yes,Android,24-06-2023,25-35
CUST0122,Aditya Rao,42,M,AHMEDABAD,Yes,iOS,15-10-2024,35-45
CUST0123,Kavya Agarwal,60,M,SURAT,No,Web,13-07-2024,55-65
CUST0124,Aditya Patel,40,F,CHENNAI,Yes,iOS,15-05-2025,35-45
CUST0125,Reyansh Reddy,48,M,BENGALURU,Yes,Web,30-10-2023,45-55
CUST0126,Rohan Sharma,60,F,ALWAR,Yes,Web,07-03-2025,55-65
CUST0127,Vivaan Rao,65,F,BHOPAL,No,Android,13-09-2024,55-65
CUST0128,Krishna Mishra,57,F,CHENNAI,Yes,Web,23-10-2024,55-65
CUST0129,Rohan Patel,20,F,INDORE,Yes,iOS,01-12-2023,18-25
CUST0130,Aadhya Yadav,30,M,SURAT,No,iOS,27-06-2024,25-35
CUST0131,Manish Agarwal,28,F,BHOPAL,No,iOS,03-02-2025,25-35
CUST0132,Sanjay Singh,47,M,MUMBAI,No,Web,21-11-2024,45-55
CUST0133,Priya Joshi,41,M,SURAT,Yes,Web,07-05-2023,35-45
CUST0134,Diya Agarwal,55,F,BHOPAL,Yes,Android,27-04-2024,55-65
CUST0135,Ira Joshi,38,M,CHENNAI,Yes,iOS,18-12-2024,35-45
CUST0136,Rahul Iyer,25,M,JAIPUR,Yes,iOS,29-04-2023,25-35
CUST0137,Krishna Joshi,26,F,AHMEDABAD,Yes,Web,14-12-2024,25-35
CUST0138,Aadhya Mehta,65,M,HYDERABAD,No,Web,22-02-2024,55-65
CUST0139,Vivaan Nair,31,F,AHMEDABAD,No,Android,03-12-2024,25-35
CUST0140,Riya Nair,21,F,ALWAR,No,iOS,04-04-2023,18-25
CUST0141,Reyansh Rao,19,M,SURAT,Yes,Android,16-03-2025,18-25
CUST0142,Reyansh Gupta,53,M,KOLKATA,No,Android,03-12-2023,45-55
CUST0143,Sanjay Rao,18,F,BHOPAL,No,Web,14-09-2023,18-25
CUST0144,Vihaan Sharma,26,M,PUNE,Yes,Android,28-06-2023,25-35
CUST0145,Vivaan Kumar,65,F,LUCKNOW,No,iOS,04-04-2024,55-65
CUST0146,Anika Mehta,24,F,LUCKNOW,No,Android,14-01-2025,18-25
CUST0147,Anika Rathore,47,M,JAIPUR,No,iOS,03-12-2024,45-55
CUST0148,Myra Patel,22,M,PUNE,Yes,Android,09-10-2023,18-25
CUST0149,Rahul Mehta,53,F,HYDERABAD,Yes,iOS,01-06-2024,45-55
CUST0150,Aadhya Singh,62,M,BHOPAL,No,Android,16-03-2024,55-65
CUST0151,Sneha Jain,44,F,BHOPAL,Yes,Web,08-04-2023,35-45
CUST0152,Aadhya Chauhan,60,F,PUNE,Yes,iOS,10-03-2023,55-65
CUST0153,Deepak Gupta,23,F,DELHI,No,Web,03-03-2023,18-25
CUST0154,Riya Joshi,39,M,HYDERABAD,No,iOS,07-06-2025,35-45
CUST0155,Vivaan Rathore,56,F,PUNE,Yes,Android,08-06-2023,55-65
CUST0156,Myra Jain,24,F,BHOPAL,Yes,iOS,10-08-2024,18-25
CUST0157,Sanjay Iyer,53,M,KOLKATA,Yes,iOS,20-12-2024,45-55
CUST0158,Manish Chauhan,40,M,MUMBAI,Yes,iOS,13-03-2023,35-45
CUST0159,Pooja Sharma,23,M,HYDERABAD,Yes,Android,14-01-2024,18-25
CUST0160,Pooja Chauhan,54,M,JAIPUR,Yes,Web,20-02-2023,45-55
CUST0161,Aditya Agarwal,46,F,AHMEDABAD,Yes,iOS,09-08-2023,45-55
CUST0162,Vihaan Nair,45,M,ALWAR,Yes,Web,12-11-2023,45-55
CUST0163,Krishna Reddy,56,M,JAIPUR,Yes,Android,24-02-2025,55-65
CUST0164,Vikram Agarwal,36,F,DELHI,Yes,iOS,29-06-2023,35-45
CUST0165,Saanvi Joshi,63,M,LUCKNOW,No,iOS,15-03-2023,55-65
CUST0166,Priya Verma,45,M,AHMEDABAD,No,Web,15-03-2024,45-55
CUST0167,Saanvi Iyer,36,M,HYDERABAD,No,Android,31-03-2025,35-45
CUST0168,Kavya Nair,23,F,BHOPAL,Yes,Web,15-02-2024,18-25
CUST0169,Aditya Reddy,37,F,BENGALURU,No,Android,06-06-2024,35-45
CUST0170,Vihaan Bhatt,50,M,SURAT,Yes,Web,14-04-2025,45-55
CUST0171,Krishna Singh,27,F,BENGALURU,Yes,Web,19-03-2023,25-35
CUST0172,Vikram Shah,47,F,CHENNAI,Yes,Web,27-11-2023,45-55
CUST0173,Ananya Kumar,46,M,AHMEDABAD,Yes,iOS,28-08-2024,45-55
CUST0174,Diya Bhatt,22,F,AHMEDABAD,Yes,iOS,01-05-2025,18-25
CUST0175,Aditya Gupta,57,F,AHMEDABAD,Yes,Web,12-02-2023,55-65
CUST0176,Manish Mehta,59,M,PUNE,No,Android,05-03-2023,55-65
CUST0177,Vihaan Chauhan,63,M,LUCKNOW,Yes,Web,24-03-2024,55-65
CUST0178,Anika Bhatt,57,M,PUNE,No,iOS,23-02-2024,55-65
CUST0179,Amit Rao,21,F,DELHI,Yes,Web,31-01-2024,18-25
CUST0180,Ishaan Rao,27,F,DELHI,No,iOS,14-11-2023,25-35
CUST0181,Neha Reddy,26,M,ALWAR,Yes,iOS,12-04-2025,25-35
CUST0182,Amit Bhatt,23,F,LUCKNOW,Yes,iOS,04-07-2023,18-25
CUST0183,Ananya Shah,30,M,MUMBAI,Yes,Android,03-06-2024,25-35
CUST0184,Deepak Bhatt,20,F,SURAT,No,iOS,07-06-2023,18-25
CUST0185,Sai Rao,28,F,JAIPUR,Yes,Web,01-09-2023,25-35
CUST0186,Ira Rathore,65,F,BENGALURU,Yes,iOS,05-05-2025,55-65
CUST0187,Diya Mehta,46,F,SURAT,No,Web,24-06-2024,45-55
CUST0188,Sai Mishra,56,M,BHOPAL,No,iOS,14-06-2025,55-65
CUST0189,Riya Singh,63,M,ALWAR,No,iOS,05-04-2024,55-65
CUST0190,Arjun Iyer,23,M,BHOPAL,No,Android,29-02-2024,18-25
CUST0191,Saanvi Bhatt,41,M,HYDERABAD,Yes,Android,23-11-2023,35-45
CUST0192,Deepak Chauhan,27,M,JAIPUR,No,iOS,13-12-2024,25-35
CUST0193,Vikram Shah,46,M,DELHI,Yes,Android,15-07-2024,45-55
CUST0195,Ira Bhatt,45,M,SURAT,Yes,Android,18-02-2023,45-55
CUST0196,Aadhya Rao,47,M,DELHI,Yes,Android,09-10-2024,45-55
CUST0197,Pari Jain,63,M,ALWAR,Yes,iOS,04-09-2023,55-65
CUST0198,Aadhya Yadav,60,M,LUCKNOW,Yes,Web,11-07-2024,55-65
CUST0200,Sanjay Bhatt,53,M,HYDERABAD,Yes,iOS,18-01-2024,45-55
CUST0201,Pooja Sharma,40,M,PUNE,No,Web,17-04-2023,35-45
CUST0202,Pooja Chauhan,26,M,PUNE,Yes,Web,29-06-2023,25-35
CUST0203,Kavya Shah,58,M,SURAT,Yes,iOS,07-02-2023,55-65
CUST0204,Reyansh Verma,30,M,PUNE,Yes,Web,29-04-2024,25-35
CUST0205,Vivaan Mishra,36,F,BHOPAL,No,iOS,07-10-2023,35-45
CUST0206,Sanjay Nair,45,F,INDORE,No,iOS,14-12-2023,45-55
CUST0207,Myra Shah,41,F,SURAT,No,Android,16-03-2024,35-45
CUST0208,Deepak Yadav,52,F,PUNE,Yes,Web,30-10-2023,45-55
CUST0209,Kavya Rao,63,F,MUMBAI,Yes,Android,14-01-2025,55-65
CUST0210,Ira Iyer,35,M,DELHI,Yes,Web,26-11-2024,35-45
CUST0211,Aarav Kumar,56,F,JAIPUR,Yes,Web,11-01-2024,55-65
CUST0212,Saanvi Mehta,20,M,CHENNAI,No,iOS,30-03-2024,18-25
CUST0213,Pari Kumar,51,F,HYDERABAD,Yes,Android,27-04-2023,45-55
CUST0214,Pooja Yadav,49,F,LUCKNOW,Yes,iOS,21-12-2024,45-55
CUST0215,Reyansh Rao,36,F,BENGALURU,Yes,Android,07-04-2024,35-45
CUST0216,Sneha Patel,23,F,CHENNAI,No,Web,09-07-2024,18-25
CUST0217,Sneha Rathore,28,M,SURAT,Yes,Android,25-07-2023,25-35
CUST0218,Krishna Shah,19,F,LUCKNOW,Yes,Web,13-05-2023,18-25
CUST0219,Sneha Gupta,22,F,HYDERABAD,Yes,iOS,23-04-2025,18-25
CUST0220,Aditya Kumar,38,M,AHMEDABAD,Yes,iOS,12-05-2023,35-45
CUST0221,Rahul Mehta,29,M,HYDERABAD,No,Android,01-05-2025,25-35
CUST0222,Anika Kumar,37,M,MUMBAI,No,Android,21-12-2023,35-45
CUST0223,Sneha Rathore,23,F,BENGALURU,Yes,Web,07-11-2023,18-25
CUST0224,Riya Gupta,50,M,KOLKATA,Yes,Web,01-10-2024,45-55
CUST0226,Sneha Rao,39,M,BHOPAL,Yes,Web,28-02-2025,35-45
CUST0227,Ishaan Mishra,54,F,KOLKATA,Yes,Web,12-07-2024,45-55
CUST0228,Rahul Rathore,48,M,SURAT,Yes,Android,06-12-2024,45-55
CUST0229,Sai Patel,44,F,AHMEDABAD,No,Android,17-11-2023,35-45
CUST0230,Ananya Nair,43,M,SURAT,Yes,Android,23-11-2023,35-45
CUST0231,Kavya Singh,35,F,BENGALURU,Yes,iOS,29-01-2024,35-45
CUST0232,Aadhya Jain,28,F,KOLKATA,Yes,Android,25-05-2024,25-35
CUST0233,Kavya Shah,37,F,JAIPUR,No,Web,13-04-2024,35-45
CUST0234,Reyansh Mehta,40,M,JAIPUR,Yes,Web,19-11-2024,35-45
CUST0235,Rohan Joshi,18,M,HYDERABAD,No,Web,10-01-2024,18-25
CUST0236,Diya Verma,43,M,KOLKATA,Yes,Web,23-10-2023,35-45
CUST0237,Saanvi Bhatt,46,F,BHOPAL,Yes,Android,12-05-2023,45-55
CUST0238,Saanvi Nair,39,F,SURAT,Yes,Web,16-02-2024,35-45
CUST0239,Vivaan Verma,20,M,INDORE,No,Web,12-04-2024,18-25
CUST0240,Ira Bhatt,26,F,KOLKATA,Yes,Web,27-01-2025,25-35
CUST0241,Pari Chauhan,50,F,INDORE,Yes,Android,13-01-2024,45-55
CUST0242,Amit Singh,44,F,SURAT,Yes,iOS,02-11-2024,35-45
CUST0243,Pari Jain,64,M,KOLKATA,Yes,Web,08-01-2025,55-65
CUST0244,Vikram Reddy,27,M,JAIPUR,No,Android,15-07-2023,25-35
CUST0245,Kavya Chauhan,44,M,HYDERABAD,Yes,Web,27-04-2024,35-45
CUST0246,Pooja Verma,63,M,LUCKNOW,Yes,Web,04-05-2024,55-65
CUST0247,Saanvi Chauhan,29,F,LUCKNOW,Yes,Web,01-03-2025,25-35
CUST0248,Amit Agarwal,57,F,BENGALURU,Yes,iOS,19-08-2023,55-65
CUST0249,Vikram Rathore,63,M,INDORE,Yes,iOS,27-07-2024,55-65
CUST0250,Ishaan Rathore,25,F,HYDERABAD,No,Android,25-10-2023,25-35
CUST0251,Rohan Gupta,40,F,CHENNAI,No,Android,26-07-2023,35-45
CUST0253,Ishaan Joshi,62,F,MUMBAI,Yes,Web,03-09-2023,55-65
CUST0254,Vivaan Bhatt,32,M,JAIPUR,Yes,Web,28-04-2024,25-35
CUST0255,Amit Kumar,18,M,HYDERABAD,Yes,Android,13-02-2025,18-25
CUST0256,Ananya Rathore,59,M,SURAT,Yes,Android,01-07-2024,55-65
CUST0257,Pooja Verma,29,F,BHOPAL,No,Android,06-05-2025,25-35
CUST0258,Sanjay Shah,29,F,JAIPUR,Yes,Web,20-04-2023,25-35
CUST0259,Rohan Patel,59,F,MUMBAI,Yes,Android,08-04-2025,55-65
CUST0260,Ananya Yadav,64,F,CHENNAI,Yes,Android,24-01-2025,55-65
CUST0261,Sanjay Rathore,54,M,MUMBAI,No,iOS,26-04-2025,45-55
CUST0262,Anika Chauhan,23,F,CHENNAI,Yes,Android,03-05-2024,18-25
CUST0263,Manish Jain,18,F,HYDERABAD,Yes,iOS,04-12-2023,18-25
CUST0264,Pari Mehta,18,F,CHENNAI,Yes,Android,14-11-2024,18-25
CUST0265,Kavya Rathore,28,F,CHENNAI,No,Web,27-02-2025,25-35
CUST0266,Neha Singh,58,F,PUNE,Yes,Android,04-05-2024,55-65
